id,wpm,acc,rawWpm,consistency,charStats
6548d46d0540d69c1a399e35,57,92.83,57.4,61.57,1425
6548ccfd0540d69c1a2a3e89,53.64,93.73,53.8,61.61,1341
6548b8cb0540d69c1afc3476,54.56,93.11,54.56,62.92,1364
653f4acdc150fabbd60379d8,65.17,95.35,65.17,62.09,163
653e68eec150fabbd6193682,59.98,96.23,59.98,71.95,150
653c12f7c150fabbd60ce628,53.09,95.53,53.19,62.99,531
653c127cc150fabbd60ce0df,55.09,93.31,55.69,64.02,551
653c11cdc150fabbd60cd977,54.09,93.32,54.59,61.13,541
653c1071c150fabbd60cca25,56.8,93.19,57.3,64.12,568
653a45750587032233497e46,54.79,92.81,55.39,63.74,548
653a319205870322331c2662,52.3,93.29,52.3,58.95,523
653a2f2d05870322331c12cd,55.58,90.45,56.78,59.44,139
653a2e8c05870322331c0db0,53.95,90.6,53.95,65.73,135
6530d765397591e7653b1283,67.57,95.48,67.57,69.26,169
6530d713397591e7653b0ff0,62.39,94.19,63.98,67.86,156
6530cef0397591e7652c05fa,62.38,95.15,62.38,64.96,156
6530cd5b397591e7652bf870,66.39,95.95,66.39,66.9,166
653021ed397591e765bc63f1,63.57,93.41,69.16,66.78,159
653021b3397591e765bc6100,67.19,94.71,73.59,71.56,168
6530215e397591e765bc5ccb,68.37,95.11,71.57,73.8,171
65302106397591e765bc585d,55.59,90.26,55.59,46.76,139
652e2e5b438cfd693d644fce,51.59,91.67,58.38,54.17,129
652cd8cd438cfd693d8d3ba8,75.16,95.96,75.16,67.37,94
6527bd2d438cfd693db7f9d5,65.58,89,75.98,55.66,82
6527bcb7438cfd693db7f665,67.15,96.55,67.15,75.46,84
6527bb4b438cfd693db095a0,58,97.32,58,61.49,580
6527bac5438cfd693db09146,59.98,92.73,60.38,57.33,150
6527baa3438cfd693db09055,52.79,88.24,52.79,56.39,132
6527ba4e438cfd693db08dc5,63.99,96.99,63.99,66.77,160
6527b90b438cfd693da92ee9|,66.38,89.85,75.58,73.14,166
6526995b438cfd693d4d325d|,73.58,94.9,74.78,73.87,184
652698ea438cfd693d4d2db9|,73.98,97.91,74.78,75.17,185
652405784cb4fabb7d5e0068|,66.78,95.43,66.78,73.05,167
652405094cb4fabb7d5dfb2e|,65.57,94.86,67.57,64.85,164
652404ba4cb4fabb7d5df78a|,70.76,99.44,70.76,76.59,177
652404574cb4fabb7d5df301|,65.19,98.79,65.19,70.78,163
652402b34cb4fabb7d569143,66.39,96.55,67.99,68.4,166
6523e2db4cb4fabb7d13952c,71.18,98.34,71.18,66.45,178
6523e2454cb4fabb7d139004|,66.78,97.11,66.78,68.44,167
6523e2204cb4fabb7d138ec9|,64.36,96.45,64.36,67.12,161
6523e1b04cb4fabb7d138b0e|,63.97,94.32,67.97,74.06,160
6523e1854cb4fabb7d138993|,69.59,96.67,69.59,71.46,174
6523e0a24cb4fabb7d0c33d4|,65.18,97.04,65.18,64.66,163
6523cf754cb4fabb7dee7281|,52.39,94.08,52.39,61.2,524
6523bb714cb4fabb7dc1ffbe|,64.59,96.42,64.59,65.34,646
6523a0764cb4fabb7d86c14e|,57.49,96.52,57.49,62.57,575
65239e644cb4fabb7d86b165|,58.3,94.38,58.3,64.21,583
65239d5f4cb4fabb7d7f5b17,60.4,95.57,60.4,62.7,151
65239cc94cb4fabb7d7f56dc|,73.18,98.4,73.18,76.36,183
6522d7474cb4fabb7de118ab||59.17|96.2|59.17|64.68|148,,,,,
6522d6a94cb4fabb7de11330||64.38|96.99|64.38|65.8|161,,,,,
651e88a34cb4fabb7dcd5505||59.59|99.33|59.59|76.34|149,,,,,
651e887e4cb4fabb7dcd53f2||53.99|97.84|53.99|59.27|135,,,,,
651e88384cb4fabb7dcd51ea||57.58|100|57.58|76.31|144,,,,,
651dade44cb4fabb7d03b6ea||52.8|93.66|53.6|52.23|132,,,,,
651dadbe4cb4fabb7d03b4ff||58.39|96.05|58.39|69.03|146,,,,,
651dad584cb4fabb7d03afe9||68.39|100|68.39|78.68|171,,,,,
651dad0d4cb4fabb7d03ac50||54.6|97.34|54.6|65.01|546,,,,,
651d521f4cb4fabb7d41e6f4||53.58|97.18|55.58|56.76|134,,,,,
651d51c14cb4fabb7d41e37e||63.98|97.58|64.38|70.04|160,,,,,
651d51694cb4fabb7d41e09a||61.19|100|61.19|66.29|153,,,,,
651d51394cb4fabb7d41df0f||55.58|100|55.58|74.17|139,,,,,
651890d036bd0a3b026caa12||51.6|94.72|52|62.72|516,,,,,
6518903f36bd0a3b026ca6d4||56|96.39|56|66.37|560,,,,,
65188fb136bd0a3b02656502||53.7|95.77|53.7|62.35|537,,,,,
65188efc36bd0a3b02656103||57.99|94.27|57.99|62.87|145,,,,,
65188e6936bd0a3b02655d9e||57.58|91.52|61.97|65.27|144,,,,,
65188dfb36bd0a3b02655b26||51.19|91.61|51.19|62.61|128,,,,,
65188dbe36bd0a3b026559a7||55.98|92.86|55.98|60.5|140,,,,,
6518857536bd0a3b0256a9c0||54.8|93.96|55.6|66.52|137,,,,,
6518855536bd0a3b0253093e||60.79|96.2|60.79|69.81|152,,,,,
6518844536bd0a3b024f6452||60.39|94.38|60.39|63.68|151,,,,,
6518841336bd0a3b024f632e||51.58|90.38|56.78|66.92|129,,,,,
6518839536bd0a3b024f6031||59.59|92.02|59.59|65.52|149,,,,,
6518836b36bd0a3b024f5f32||60.37|95.6|60.37|73.25|151,,,,,
65003cfb1f44667c8ed05ec1||61.18|93.45|63.98|72.11|153,,,,,
65003ca31f44667c8ed05c4d||65.97|95.43|68.77|72.33|165,,,,,
64ff741e1f44667c8e367bd9||57.54|95.45|59.14|61.14|144,,,,,
64feee061f44667c8e22ea6a||57.98|96.08|58.38|63.38|145,,,,,
64feed1d1f44667c8e22e345||64.39|93.14|65.59|65.7|161,,,,,
64feecf71f44667c8e22e214||54.79|89.38|59.19|57.19|137,,,,,
64feeca11f44667c8e22df42||69.59|95.08|70.39|67.4|174,,,,,
64feec6a1f44667c8e22dd8e||54.39|93.24|54.39|55.96|136,,,,,
64fddf551f44667c8efa23cc||63.57|95.21|63.57|71.53|159,,,,,
64fddf0a1f44667c8efa2157||57.19|89.47|63.99|70.25|143,,,,,
64fddddc1f44667c8efa1825||63.57|96.95|63.57|69.13|159,,,,,
64fddd791f44667c8ef689da||64.79|98.2|64.79|74.31|162,,,,,
64fddd1f1f44667c8ef2fd24||56.36|92.26|56.36|60.02|141,,,,,
64ef820383e8f7f36f7f3b70||52|90.64|52|55.66|520,,,,,
64ef806483e8f7f36f7f2901||54.79|93.47|55.39|60.37|548,,,,,
64ef7f7883e8f7f36f781e43||55.2|94.72|55.6|65.32|552,,,,,
64ef7edf83e8f7f36f7817a3|true|59.3|96.27|59.3|68.22|593,,,,,
64ec610b83e8f7f36f29e856||55.89|94.98|56.19|64.3|559,,,,,
64ec604d83e8f7f36f29e244||54.5|92.72|55.1|60.71|545,,,,,
64ec5fb483e8f7f36f29dd8b||54.4|93.87|54.4|62.8|544,,,,,
64eb937083e8f7f36f900fe2||47.08|91.63|48.08|59.41|471,,,,,
64eb915e83e8f7f36f890648||47.7|92.21|47.7|59.41|477,,,,,
64eb8fb083e8f7f36f88f9f0||52.78|89.19|53.57|55.96|66,,,,,
64eb8e4f83e8f7f36f81f549||53.97|91.45|55.17|61.9|135,,,,,
